Marca temporal,Consentimiento informado,Indica tu rango de edad ,Cuál es tu genero,Semestre en el que te encuentras actualmente,Carrera o programa académico,¿Has pensado en abandonar la universidad en algún momento?,"Si respondiste “sí” en la anterior, ¿Cuál fue la razón principal?",¿Cuentas con algún tipo de beca o apoyo institucional?,¿Cómo calificas tu nivel de estrés relacionado con los estudios?,¿Has sentido síntomas de ansiedad o depresión durante tu vida universitaria?,¿La calidad de los docentes ha influido en tu motivación para continuar estudiando?,"¿Has tenido dificultades con procesos administrativos (inscripciones, becas, trámites)?",¿Consideras que el transporte hacia la universidad es un factor que afecta tu permanencia?,"¿Recibes apoyo académico (tutorías, asesorías, acompañamiento)?",¿Tu familia apoya tu decisión de continuar en la universidad?,¿Qué tan satisfecho estás con tu experiencia universitaria actual?,¿Cómo calificas tu nivel de motivación para continuar y terminar tu carrera?,¿Conoces a algún compañero/a que haya abandonado la universidad?,"Si respondiste “sí”, ¿Cuál fue la razón principal por la que abandonó?",¿Consideras que la universidad ofrece suficiente apoyo para evitar el abandono?,¿Qué tipo de apoyo crees que evitaría el abandono escolar en la universidad?,¿Qué sugerencias darías para reducir el abandono escolar en tu salón o en la universidad?
23/9/2025 23:03:18,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Derecho y Criminología,Algunas veces,Otra,No cuento con apoyo,Alto,"Sí, algunas veces",Muy positivamente,"No, ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Alta,No,,Sí,Apoyo psicológico/emocional,Que se hagan platicas motivacionales
23/9/2025 23:26:25,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Masculino,3°,Licenciatura en Ciencias de Datos para Negocios,Pocas veces,Dificultades económicas,"Sí, apoyo en especie (alimentación, transporte, materiales)",Moderado,No,Positivamente,"No, ninguna","Sí, afecta mucho","Sí, de manera ocasional","Sí, totalmente",Satisfecho,Alta,Sí,Académica,No,Becas o apoyos económicos,Promover becas para que ayuden a personas como yo a seguir estudiante ya que la parte economica es clave ademas de que los profesores y jefe de carrera sea mas flexible sobre los horarios de clase ya que algunos trabajamos. Espero que encuentren soluciones verdaderas por somo libres y humanos!
28/9/2025 13:11:58,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,1°,Licenciatura en Relaciones Internacionales,Algunas veces,Dificultades económicas,No cuento con apoyo,Moderado,"Sí, algunas veces",Neutro,"No, casi ninguna","Sí, afecta un poco",No recibo apoyo,"Sí, en parte",Poco satisfecho,Moderada,Sí,Económica,Parcialmente,Apoyo psicológico/emocional,Apoyo psicológico 
23/9/2025 23:35:19,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,5°,Licenciatura en Derecho y Criminología,Nunca,Otra,No cuento con apoyo,Alto,No,Positivamente,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Falta de motivación e interés en la materia,No,Becas o apoyos económicos,"Clases más dinámicas, sin tantad tareas"
23/9/2025 23:40:56,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,5°,Licenciatura en Ciencias Ambientales para Zonas Urbanas,Nunca,,"Sí, apoyo en especie (alimentación, transporte, materiales)",Moderado,No,Positivamente,"Sí, algunas dificultades",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Alta,Sí,Económica,No,Becas o apoyos económicos,"Es difícil dar una sugerencia en particular, ya que cada caso es totalmente diferente. Sin embargo, el que ell@s cuenten con un apoyo económico, podría ayudar a que la deserción sea tan frecuente"
23/9/2025 23:45:43,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Masculino,3°,Licenciatura en Contaduría y Finanzas,Nunca,,No cuento con apoyo,Bajo,"Sí, algunas veces",Muy positivamente,"No, casi ninguna",No afecta,"Sí, de manera constante","Sí, totalmente",Muy satisfecho,Muy alta,No estoy seguro,,Sí,Becas o apoyos económicos,Apoyo económico
23/9/2025 23:50:39,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,5°,Licenciatura en Derecho y Criminología,Algunas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Alto,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Falta de motivación e interés en la materia,No,"Maestros menos prepotentes, ppr que estresan",Pies un apoyo economico sin impprtar edad y que algunos maestros fueran mas.flexibles y no tan prepotentes hacia el alumnado
28/9/2025 17:30:02,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Masculino,2°,Licenciatura en Ciencias de Datos para Negocios,Algunas veces,Dificultades económicas,No cuento con apoyo,Bajo,No,Neutro,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Satisfecho,Alta,Sí,Económica,Sí,Orientación vocacional,Realizar encuestas constantemente para identificar casos de posible abandono y canalizarlas a orientación
30/9/2025 23:08:17,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,25 - 29 años,Femenino,1°,Licenciatura en Administración y Comercio,Muy frecuentemente,Dificultades económicas,No cuento con apoyo,Muy alto,"Sí, frecuentemente",Neutro,"No, ninguna","Sí, afecta mucho",No recibo apoyo,"No, en general no",Poco satisfecho,Muy baja,No estoy seguro,Económica,Parcialmente,Flexibilidad de horarios,"El horario intermedio se me hace muy complicado para mí ya que fui despedida de mi ex trabajo por tomar clases, no tengo más ingreso y busco trabajo pero nada se adapta con mis horarios ya que es de 11:00am-3:00pm, los transporte que según se les dio la ruta y tiene la obligación de dejarnos en la entrada de la universidad, no es verdad que nos dejan en la entrada se niegan a brindar el servicio y vamos con riesgo ⚠️ que nos pase algo, no puedo pagar DiDi por mi situación económica "
26/9/2025 14:48:44,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,3°,Licenciatura en Psicología,Algunas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Alto,"Sí, frecuentemente",Neutro,"Sí, algunas dificultades","Sí, afecta mucho",No recibo apoyo,"Sí, en parte",Satisfecho,Moderada,Sí,Exceso de carga académica ,No,Becas o apoyos económicos,Designar más tiempo para realizar las actividades ya que muchos trabajan y aveces los docentes modifican las actividades pidiendo más procesos sin considerar que no son la única materia que se ve
23/9/2025 19:17:34,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,3°,Licenciatura en Humanidades y Narrativas Multimedia,Algunas veces,Falta de motivación / interés,No cuento con apoyo,Alto,"Sí, algunas veces",Neutro,"Sí, muchas dificultades",No afecta,"Sí, de manera ocasional","Sí, en parte",Poco satisfecho,Moderada,No estoy seguro,Falta de motivación e interés en la materia,Parcialmente,Apoyo psicológico/emocional,Simplemente la motivación 
24/9/2025 2:08:59,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,Más de 30,Femenino,1°,Licenciatura en Psicología,Muy frecuentemente,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Muy alto,"Sí, frecuentemente",Negativamente,"Sí, muchas dificultades",No afecta,No recibo apoyo,Prefiero no contestar,Poco satisfecho,Baja,Sí,Salud física o mental,No,Becas o apoyos económicos,Considerar agilizar los trámites en general ya que la mayoría de los casos son ineficientes y muy tardados
24/9/2025 3:49:01,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Masculino,2°,Licenciatura en Ciencias de Datos para Negocios,Algunas veces,Dificultades económicas,No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades","Sí, afecta mucho","Sí, de manera ocasional","Sí, en parte",Poco satisfecho,Moderada,No,,No,Becas o apoyos económicos,"Becas , transporte  universitario "
23/9/2025 21:41:35,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Masculino,5°,Licenciatura en Ciencias de Datos para Negocios,Pocas veces,Otra,No cuento con apoyo,Alto,No,Neutro,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Falta de motivación e interés en la materia,No,Flexibilidad de horarios,Más flexibilidad con el tema de la asistencia a clases.  Sobre todo si se cuenta con un comprobante de trabajo por parte del estudiante.  
24/9/2025 5:41:14,Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.,25 - 29 años,Masculino,8°,Licenciatura en Ingeniería en Control y Automatización,Algunas veces,Problemas familiares,No cuento con apoyo,Alto,"Sí, frecuentemente",Muy positivamente,"Sí, muchas dificultades",No afecta,No recibo apoyo,"No, en general no",Muy satisfecho,Moderada,Sí,Académica,Sí,Apoyo psicológico/emocional,Ninguno 
24/9/2025 16:21:43,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,1°,Licenciatura en Derecho y Criminología,Muy frecuentemente,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Muy alto,"Sí, frecuentemente",Neutro,"Sí, muchas dificultades","Sí, afecta mucho",No recibo apoyo,"Sí, totalmente",Nada satisfecho,Muy baja,Sí,Falta de motivación e interés en la materia,No,Flexibilidad de horarios,El echo de que deberían de preguntar los horarios para NG er si se les pudiera asignar un horario diferente
24/9/2025 16:34:46,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Masculino,1°,Licenciatura en Contaduría y Finanzas,Muy frecuentemente,Falta de motivación / interés,No cuento con apoyo,Alto,"Sí, frecuentemente",Neutro,"No, casi ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Poco satisfecho,Muy baja,Sí,Falta de motivación e interés en la materia,No,Flexibilidad de horarios,"Un plan de estudio mejorado, mejores horarios, no ir los sábados, quitar las ucas ya que exigen demasiado tiempo y estrés."
24/9/2025 6:58:23,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Femenino,2°,Licenciatura en Derecho y Criminología,Algunas veces,Falta de motivación / interés,"Sí, beca parcial",Alto,"Sí, frecuentemente",Muy positivamente,"Sí, algunas dificultades",No afecta,No recibo apoyo,"Sí, en parte",Poco satisfecho,Baja,Sí,Académica,Parcialmente,Becas o apoyos económicos,Que hubiera una mejor orientación vocacional y mas apoyo en cuanto a pasajes pero ojala de dinero mejor hubieran pases gratis como los del inapam
24/9/2025 8:17:28,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,1°,Licenciatura en Mercadotecnia y Ventas,Nunca,,No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,"No, ninguna","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Satisfecho,Alta,Sí,Falta de motivación e interés en la materia,Parcialmente,Becas o apoyos económicos,Creo que la asesoría psicológica y antes de entrar algún modo de que realmente vean como se maneja la carrera y la manera de trabajar de diferentes docentes
24/9/2025 10:32:20,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Masculino,1°,Licenciatura en Derecho y Seguridad Ciudadana,Nunca,Dificultades económicas,No cuento con apoyo,Bajo,"Sí, algunas veces",Positivamente,"No, ninguna",No afecta,"Sí, de manera ocasional","Sí, en parte",Muy satisfecho,Muy alta,No,,Sí,Tanto a Distancia como Presencial ,Que tenemos que la universidad nos escuche 
24/9/2025 13:14:13,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Masculino,1°,Licenciatura en Ciencias de Datos para Negocios,Nunca,,No cuento con apoyo,Bajo,No,Positivamente,"No, ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,No,,Sí,Tutorías académicas,"Más eventos sociales , menos problema prototipico "
24/9/2025 16:48:23,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",17–19 años,Masculino,2°,Licenciatura en Ciencias de Datos para Negocios,Nunca,,No cuento con apoyo,Bajo,No,Neutro,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Muy satisfecho,Muy alta,Sí,Falta de motivación e interés en la materia,Sí,Becas o apoyos económicos,Mi sugerencia es que den apoyo en becas por qué no han dado becas
24/9/2025 14:05:36,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,1°,Licenciatura en Contaduría y Finanzas,Algunas veces,Otra,No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades",No afecta,"Sí, de manera constante","Sí, totalmente",Satisfecho,Moderada,No,,Sí,Becas o apoyos económicos,"Motivación, generalmente las personas inscritas en modalidades a distancia son de edad grande lo cual la capacidad para entenderny comorender cuesta mas trabajo, ademas de que ya no es la misma secuencia que se tenia a cuando estudiabas seguido"
26/9/2025 15:12:19,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,Más de 30,Femenino,8°,Licenciatura en Psicología,Pocas veces,Falta de motivación / interés,No cuento con apoyo,Moderado,"Sí, algunas veces",Neutro,"Sí, algunas dificultades",No afecta,"Sí, de manera ocasional","Sí, en parte",Satisfecho,Alta,Sí,Falta de motivación e interés en la materia,Parcialmente,Becas o apoyos económicos,Considero que la falla en algunas ocasiones es las instrucciones vagas y la falta de empatía de algunos compañeros y profesores 
24/9/2025 15:26:04,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,2°,Licenciatura en Administración y Comercio,Pocas veces,Dificultades económicas,No cuento con apoyo,Bajo,"Sí, algunas veces",Muy positivamente,"No, ninguna",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Muy alta,Sí,Falta de motivación e interés en la materia,Parcialmente,Becas o apoyos económicos,Con becas 
28/9/2025 19:58:55,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,4°,Licenciatura en Psicología,Muy frecuentemente,Falta de motivación / interés,No cuento con apoyo,Moderado,"Sí, algunas veces",Neutro,"No, casi ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Baja,Sí,Falta de motivación e interés en la materia,No,Becas o apoyos económicos,Más prórroga para entregar tareas ya que cuando uno trabaja es complicado cumplir en tiempo y forma 
29/9/2025 7:35:04,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,20–22 años,Masculino,7°,Licenciatura en Ciencias de Datos para Negocios,Pocas veces,Dificultades económicas,"Sí, apoyo en especie (alimentación, transporte, materiales)",Alto,"Sí, algunas veces",Neutro,"Sí, muchas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Muy satisfecho,Moderada,Sí,Falta de motivación e interés en la materia,No,Becas o apoyos económicos,…
29/9/2025 18:35:51,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,23–25 años,Femenino,7°,Licenciatura en Ciencias de Datos para Negocios,Algunas veces,Falta de motivación / interés,No cuento con apoyo,Muy alto,"Sí, frecuentemente",Neutro,"Sí, muchas dificultades","Sí, afecta mucho",No recibo apoyo,"Sí, totalmente",Poco satisfecho,Moderada,Sí,Falta de motivación e interés en la materia,No,Apoyo psicológico/emocional,Ninguna
23/9/2025 20:42:37,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,25 - 29 años,Femenino,4°,Licenciatura en Administración y Comercio,Algunas veces,Otra,No cuento con apoyo,Alto,"Sí, algunas veces",Neutro,"Sí, algunas dificultades",No afecta,No recibo apoyo,"No, en general no",Satisfecho,Baja,No,Falta de tiempo y acumulación de tareas.,No,Flexibilidad de horarios,"En mi caso que ds modalidad a Distancia, la mayoría tenemos muchas otras actividades por tal motivo estamos a Distancia. Sin embargo, considero que es mucho estrés con tantas actividades a la semana.  Aparte de que las clases son una vez por semana, hace que seamos más autodidactos. Y hace mas complicado y estresante "
24/9/2025 18:10:35,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,Más de 30,Femenino,5°,Licenciatura en Mercadotecnia y Ventas,Pocas veces,Problemas familiares,No cuento con apoyo,Moderado,"Sí, algunas veces",Muy positivamente,"No, casi ninguna",No afecta,"Sí, de manera ocasional","Sí, totalmente",Muy satisfecho,Alta,Sí,Familiar,Sí,Becas o apoyos económicos,Actividades de integración 
24/9/2025 18:36:58,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,20–22 años,Masculino,3°,Licenciatura en Ciencias de Datos para Negocios,Pocas veces,Dificultades económicas,No cuento con apoyo,Alto,"Sí, algunas veces",Positivamente,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Satisfecho,Alta,Sí,Familiar,No,Flexibilidad de horarios,Ser más flexibles con los alumnos que trabajan y estudian a la vez.
24/9/2025 19:06:44,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,25 - 29 años,Femenino,3°,Licenciatura en Relaciones Internacionales,Algunas veces,Otra,No cuento con apoyo,Muy alto,"Sí, frecuentemente",Positivamente,"No, ninguna","Sí, afecta mucho",No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Falta de motivación e interés en la materia,Parcialmente,Flexibilidad de horarios,"Podría ser cambiarse de modalidad o tratar de organizar mejor sus tiempos, idk"
24/9/2025 19:24:11,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,5°,Licenciatura en Derecho y Criminología,Pocas veces,Dificultades económicas,"Sí, apoyo en especie (alimentación, transporte, materiales)",Alto,"Sí, algunas veces",Positivamente,"Sí, muchas dificultades",No afecta,No recibo apoyo,Prefiero no contestar,Poco satisfecho,Moderada,Sí,Problemas con la universidad,No,Becas o apoyos económicos,"En primera las becas para los estudiantes arriba de 30 muchos tienen hijos y trabajo, en la comunidad académica en general, lo que es poco comentado por los estudiantes es la falta de interés de los docentes para impartir clases. Otro motivo que podría ayudar es el modelo académico que lleva la escuela y la organización administrativa, por último también se han escuchado constantes rumores que no hay empleo para los egresados de la UNRC y puedo persivir que ese tipo de comentarios afecta alas generaciones nuevas."
23/9/2025 21:36:53,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,5°,Licenciatura en Mercadotecnia y Ventas,Pocas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Moderado,"Sí, algunas veces",Neutro,"Sí, algunas dificultades",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Moderada,Sí,Familiar,No,Becas o apoyos económicos,"Que respetarán los planes de estudio, que den apoyos económicos también para los que estudian a distancia ya que las herramientas tecnologías tienen un costo considerable y por último que respeten las fechas de cada bloque ya que hay veces en que quitan hasta 2 semanas del semestres. Como bonus deberíamos de tener menos vacaciones, considero que tanto tiempo sin la escuela provoca pérdida de interés. "
23/9/2025 22:28:55,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Masculino,3°,Licenciatura en Relaciones Internacionales,Algunas veces,Problemas familiares,"Sí, apoyo en especie (alimentación, transporte, materiales)",Moderado,"Sí, algunas veces",Neutro,"Sí, algunas dificultades",No afecta,No recibo apoyo,Prefiero no contestar,Satisfecho,Moderada,Sí,Familiar,Parcialmente,Tutorías académicas,clases de regularización de materia no aprobada y guías de estudio para extraordinario 
24/9/2025 5:47:44,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,17–19 años,Femenino,3°,Licenciatura en Psicología,Pocas veces,Salud física o mental,No cuento con apoyo,Moderado,"Sí, frecuentemente",Neutro,"No, ninguna","Sí, afecta un poco",No recibo apoyo,"Sí, en parte",Poco satisfecho,Moderada,Sí,Familiar,Parcialmente,Becas o apoyos económicos,Más talleres de motivación 
24/9/2025 20:27:58,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Masculino,1°,Licenciatura en Ingeniería en Control y Automatización,Muy frecuentemente,Dificultades económicas,No cuento con apoyo,Moderado,"Sí, frecuentemente",Muy positivamente,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, en parte",Muy satisfecho,Moderada,Sí,Problemas con la universidad,Sí,Becas o apoyos económicos,"Los horarios, nos dijeron que de 7 a 11, y ahora es de 8 a 2 pm lo que dificulta la estadía en la universidad por el trabajo."
26/9/2025 15:04:45,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Psicología,Pocas veces,Otra,No cuento con apoyo,Moderado,No,Neutro,"Sí, muchas dificultades",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Alta,Sí,Familiar,Parcialmente,Becas o apoyos económicos,"Becas, que los trámites sean más ágiles, que podamos tener una plataforma para poder ver nuestro historial académico en línea, que se quite la penalización del 10% por tareas entregadas a destiempo "
24/9/2025 20:53:44,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",20–22 años,Masculino,1°,Licenciatura en Ingeniería en Control y Automatización,Nunca,,No cuento con apoyo,Moderado,"Sí, algunas veces",Positivamente,"No, ninguna","Sí, afecta un poco","Sí, de manera ocasional","Sí, totalmente",Muy satisfecho,Alta,No,,Parcialmente,Orientación vocacional,Mas interaccion entre docente y alumno 
25/9/2025 1:17:53,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Masculino,2°,Licenciatura en Mercadotecnia y Ventas,Muy frecuentemente,Falta de motivación / interés,No cuento con apoyo,Moderado,No,Muy positivamente,"No, ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Baja,No,,No,Orientación vocacional,En la universidad falta de compromiso de la jefa de carrera 
27/9/2025 20:39:18,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,7°,Licenciatura en Psicología,Pocas veces,Salud física o mental,No cuento con apoyo,Muy alto,"Sí, algunas veces",Neutro,"Sí, algunas dificultades",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Alta,Sí,Familiar,Parcialmente,Becas o apoyos económicos,"El apoyo económico es importante,pero el apoyo psicológico sería de gran utilidad, ya que es una forma de sobrellevar y tratar de enfrentar problemas en cualquier ámbito."
30/9/2025 14:28:57,He leído y acepto participar de forma voluntaria y anónima en esta encuesta.,25 - 29 años,Femenino,3°,Licenciatura en Ciencias de Datos para Negocios,Pocas veces,Falta de motivación / interés,"Sí, apoyo en especie (alimentación, transporte, materiales)",Moderado,No,Neutro,"No, casi ninguna","Sí, afecta un poco","Sí, de manera ocasional","Sí, totalmente",Satisfecho,Moderada,Sí,Familiar,No,Orientación vocacional,que los docentes esten más capacitados para lidear con situaciones diversar 
26/9/2025 2:24:10,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",23–25 años,Femenino,3°,Licenciatura en Ciencias de Datos para Negocios,Muy frecuentemente,Problemas académicos,"Sí, apoyo en especie (alimentación, transporte, materiales)",Moderado,"Sí, frecuentemente",Negativamente,"Sí, algunas dificultades","Sí, afecta un poco",No recibo apoyo,"Sí, totalmente",Poco satisfecho,Baja,No,,No,Tutorías académicas,Que dieran terapias y apoyo emocional y que los profesores reúnan a lo que les cuesta más trabajo comprender algunos temas reunirlos  ir un poco más lento.
26/9/2025 2:28:46,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Femenino,3°,Licenciatura en Derecho y Criminología,Algunas veces,Otra,No cuento con apoyo,Alto,"Sí, frecuentemente",Positivamente,"Sí, algunas dificultades",No afecta,"Sí, de manera ocasional","Sí, totalmente",Satisfecho,Moderada,Sí,"Exceso de trabajo, y mucha carga en actividades escolares",Parcialmente,Becas o apoyos económicos,"Mas tiempo para entregar actividades y mas sesiones de aprendizaje, aunado a becas escolares."
26/9/2025 14:24:59,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",Más de 30,Masculino,8°,Licenciatura en Psicología,Pocas veces,Problemas familiares,No cuento con apoyo,Moderado,"Sí, algunas veces",Muy positivamente,"Sí, algunas dificultades",No afecta,No recibo apoyo,"Sí, totalmente",Muy satisfecho,Muy alta,Sí,Salud física o mental,Parcialmente,Apoyo psicológico/emocional,Red de apoyo para cualquier tipo de problena que cause  deserción
24/9/2025 0:09:37,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Masculino,2°,Licenciatura en Contaduría y Finanzas,Muy frecuentemente,Falta de motivación / interés,No cuento con apoyo,Muy bajo,No,Neutro,"No, casi ninguna",No afecta,No recibo apoyo,"Sí, totalmente",Satisfecho,Muy baja,Sí,Ni idea solo ya no fue ,No,Yo creo que de todo un poco,Ni idea 
23/9/2025 19:14:41,"He leído y acepto participar de forma voluntaria y anónima en esta encuesta., Entiendo que mis respuestas son confidenciales y serán usadas solo con fines académicos.",25 - 29 años,Femenino,1°,Licenciatura en Administración y Comercio,Algunas veces,"Problemas con la universidad (, trámites, docentes, etc)",No cuento con apoyo,Bajo,"Sí, algunas veces",Neutro,"No, ninguna","Sí, afecta mucho",No recibo apoyo,"Sí, totalmente",Satisfecho,Moderada,Sí,Problemas con la universidad,Parcialmente,Flexibilidad de horarios,"Estaría super bien, si pusieran un horario de fin de semana o más tarde para las personas que trabajamos y así no poder faltar a clases, la universidad es muy buena, pero siento que no ha tomado tanto a consideración a quienes trabajamos por cuestion de horario. También que los maestros sean flexibles y puedan subir material de apoyo para quienes no podamos estar en laguna clase, pero tenemos ganas de estudiar y culminar la universidad. Gracias "
